RD
-156.6211, 96.75295, 144.9948, -161.274, -39.07808, 174.5606, 45 | 0.01852277, 0.6929429, 0.384958 | 1
-156.5683, 96.44247, 145.1499, -161.1005, -38.75501, 175.0117, 45 | 0.01826662, 0.6962111, 0.3847728 | 1
-156.6788, 96.21918, 145.2658, -161.0534, -38.42839, 175.306, 45 | 0.01836264, 0.6977566, 0.3848182 | 1
-156.6954, 96.0804, 145.4442, -160.946, -38.1636, 175.2887, 45 | 0.01813814, 0.6986259, 0.3848058 | 1
-156.6512, 96.03687, 145.5255, -160.8805, -38.07388, 175.2888, 45 | 0.01788303, 0.699314, 0.3846504 | 1
-156.474, 95.88755, 145.755, -160.6791, -37.74899, 175.4811, 45 | 0.01694843, 0.7024876, 0.3838665 | 1
-156.4653, 95.81625, 145.8425, -160.6245, -37.59868, 175.5791, 45 | 0.01676333, 0.7035772, 0.3836267 | 1
-156.4985, 95.68913, 145.9912, -160.5483, -37.26613, 175.7219, 45 | 0.0166015, 0.705171, 0.3833085 | 1
-156.3989, 95.60269, 146.2226, -160.3677, -36.8808, 175.6981, 45 | 0.01604486, 0.7073005, 0.3826298 | 1
-156.2702, 95.58584, 146.3343, -160.2624, -36.68768, 175.7286, 45 | 0.01547378, 0.7089111, 0.38202 | 1
-156.2475, 95.46259, 146.4737, -160.172, -36.50958, 175.9824, 45 | 0.01515365, 0.7111454, 0.3814778 | 1
-156.2611, 95.37032, 146.5939, -160.1076, -36.29318, 176.0614, 45 | 0.01495519, 0.7122544, 0.3812522 | 1
-156.2413, 95.12248, 146.7872, -159.9839, -35.94702, 176.5368, 45 | 0.01443213, 0.7157139, 0.3806298 | 1
-156.1656, 95.03879, 146.8477, -159.917, -35.78636, 176.7498, 45 | 0.01407245, 0.7174673, 0.3802308 | 1
-156.3013, 94.71617, 147.0299, -159.7988, -35.35052, 177.1953, 45 | 0.01440024, 0.7203031, 0.3801047 | 1
-156.4093, 94.5937, 147.1915, -159.7199, -35.02249, 177.0832, 45 | 0.01454508, 0.7204672, 0.380302 | 1
-156.4288, 94.54697, 147.2815, -159.6643, -34.91171, 176.9671, 45 | 0.0144645, 0.7204049, 0.3804073 | 1
-156.3672, 94.33969, 147.4496, -159.5203, -34.65359, 177.2236, 45 | 0.0139426, 0.7228327, 0.380102 | 1
-156.2553, 94.20832, 147.5434, -159.4128, -34.45906, 177.4955, 45 | 0.01340532, 0.7251738, 0.3796338 | 1
-156.1611, 93.93124, 147.6572, -159.2841, -34.23361, 178.1045, 45 | 0.01285714, 0.7289371, 0.3791162 | 1
-156.2811, 93.70595, 147.7231, -159.2602, -34.09282, 178.4706, 45 | 0.01310477, 0.7303245, 0.3793051 | 1
-156.2641, 93.63772, 147.8509, -159.13, -33.85967, 178.1609, 45 | 0.0130187, 0.7299544, 0.3796569 | 1
-156.2257, 93.53996, 147.9143, -159.0493, -33.75958, 178.2049, 45 | 0.01284611, 0.7306995, 0.379711 | 1
-156.2815, 93.25671, 148.0169, -158.9666, -33.50772, 178.6138, 45 | 0.01284102, 0.7327849, 0.3798597 | 1
-156.3379, 92.84748, 148.1628, -158.814, -33.1366, 179.0908, 45 | 0.01289675, 0.7354413, 0.3802655 | 1
-156.3689, 92.7119, 148.2352, -158.7456, -33.00974, 179.1276, 45 | 0.01291928, 0.7358524, 0.3805747 | 1
-156.3622, 92.37805, 148.3697, -158.5633, -32.71597, 179.3627, 45 | 0.0128853, 0.7377104, 0.3810815 | 1
-156.4573, 91.88715, 148.458, -158.4115, -32.50141, 180.0324, 45 | 0.01337084, 0.7406679, 0.3817543 | 1
-156.5819, 91.30478, 148.5758, -158.2199, -32.21655, 180.6921, 45 | 0.01396218, 0.743553, 0.3828117 | 1
-156.5893, 91.14588, 148.6354, -158.141, -32.03921, 180.7766, 45 | 0.0139792, 0.7442217, 0.3831611 | 1
-156.5903, 90.99724, 148.729, -158.0294, -31.83802, 180.7348, 45 | 0.01395026, 0.7446573, 0.3835551 | 1
-156.5997, 90.37159, 148.9371, -157.7023, -31.37115, 181.2317, 45 | 0.01413515, 0.7481033, 0.384612 | 1
-156.7117, 89.83436, 149.0447, -157.5402, -31.10207, 181.9271, 45 | 0.01460925, 0.7511107, 0.3854522 | 1
-156.8231, 89.25951, 149.2871, -157.2553, -30.53894, 182.3363, 45 | 0.01504308, 0.7541208, 0.3864276 | 1
-156.8409, 88.97669, 149.398, -157.0897, -30.28235, 182.55, 45 | 0.01525006, 0.7558805, 0.3868322 | 1
-156.8733, 88.37349, 149.5461, -156.8139, -29.8301, 183.2941, 45 | 0.01580024, 0.7601832, 0.3874935 | 1
-156.8168, 88.14153, 149.5953, -156.6609, -29.7943, 183.5038, 45 | 0.01578036, 0.7616986, 0.3878504 | 1
-156.838, 87.717, 149.7809, -156.39, -29.48393, 183.7469, 45 | 0.0159288, 0.764089, 0.3885609 | 1
-156.8868, 87.42905, 149.9028, -156.2388, -29.17358, 183.995, 45 | 0.01619053, 0.7659568, 0.3889275 | 1
